日期	农业需水	其他生态需水	非农需水	需水量
2026/03/03	7.73	10.76	6.7535	14.4835
2026/03/04	7.73	10.76	6.7535	14.4835
2026/03/05	7.73	10.76	6.7535	14.4835
2026/03/06	7.73	10.76	6.7535	14.4835
2026/03/07	7.73	10.76	6.7535	14.4835
2026/03/08	7.73	10.76	6.7535	14.4835
2026/03/09	7.73	10.76	6.7535	14.4835
2026/03/10	7.73	10.76	6.7535	14.4835
2026/03/11	7.73	10.76	6.7535	14.4835
2026/03/12	7.73	10.76	6.7535	14.4835
2026/03/13	7.73	10.76	6.7535	14.4835
2026/03/14	7.73	10.76	6.7535	14.4835
2026/03/15	7.73	10.76	6.7535	14.4835
2026/03/16	7.73	10.76	6.7535	14.4835
2026/03/17	7.73	10.76	6.7535	14.4835
2026/03/18	7.73	10.76	6.7535	14.4835
2026/03/19	7.73	10.76	6.7535	14.4835
2026/03/20	7.73	10.76	6.7535	14.4835
2026/03/21	7.73	10.76	6.7535	14.4835
2026/03/22	7.73	10.76	6.7535	14.4835
2026/03/23	7.73	10.76	6.7535	14.4835
2026/03/24	7.73	10.76	6.7535	14.4835
2026/03/25	7.73	10.76	6.7535	14.4835
2026/03/26	7.73	10.76	6.7535	14.4835
2026/03/27	7.73	10.76	6.7535	14.4835
2026/03/28	7.73	10.76	6.7535	14.4835
2026/03/29	7.73	10.76	6.7535	14.4835
2026/03/30	7.73	10.76	6.7535	14.4835
2026/03/31	7.73	10.76	6.7535	14.4835
2026/04/01	7.73	13.66	6.7535	14.4835
2026/04/02	7.73	13.66	6.7535	14.4835
2026/04/03	0.0	13.66	6.7535	6.7535
